amplifier_id,mea1k_el,pad_id,depth,shank_id,y,x,metal,zone,y_order,x_order,pad_diameter_um,r,g,b,a,shank_name,y_aligned,x_aligned,el_pair,shank_side,mea1k_connectivity,connectivity_order,routed
939,19715,576.0,0.0,1.0,524.0,1441.0,2.0,3.0,7.0,18.0,30.0,240.0,234.0,244.0,1.0,anterior_short_shank,1545.0,2361.0,99.0,right,37.52477964019993,1.0,True
971,19280,562.0,840.0,1.0,524.0,1353.0,2.0,3.0,7.0,17.0,30.0,217.0,216.0,234.0,1.0,anterior_short_shank,1545.0,2449.0,92.0,right,38.25672276275279,1.0,True
983,24774,570.0,360.0,1.0,94.0,1440.0,2.0,3.0,1.0,18.0,30.0,231.0,227.0,240.0,1.0,anterior_short_shank,1975.0,2362.0,96.0,right,38.51363943616313,1.0,True
763,15578,346.0,930.0,1.0,841.0,671.0,1.0,2.0,1.0,9.0,30.0,215.0,215.0,234.0,1.0,anterior_short_shank,1228.0,3131.0,7.0,left,38.727131822710014,1.0,True
759,20408,483.0,2910.0,1.0,454.0,838.0,1.0,3.0,6.0,11.0,30.0,122.0,172.0,209.0,1.0,anterior_short_shank,1615.0,2964.0,75.0,right,38.655167882571,1.0,True
751,22174,471.0,3630.0,1.0,309.0,760.0,1.0,3.0,4.0,10.0,30.0,72.0,151.0,196.0,1.0,anterior_short_shank,1760.0,3042.0,69.0,right,38.58387550786024,1.0,True
747,25244,489.0,5160.0,1.0,94.0,918.0,2.0,3.0,1.0,12.0,30.0,5.0,104.0,164.0,1.0,anterior_short_shank,1975.0,2884.0,56.0,right,38.38512434195635,1.0,True
607,21521,455.0,4860.0,1.0,379.0,610.0,2.0,3.0,5.0,8.0,30.0,5.0,111.0,175.0,1.0,anterior_short_shank,1690.0,3192.0,40.0,left,38.70586972875131,1.0,True
611,23281,453.0,4740.0,1.0,237.0,610.0,2.0,3.0,3.0,8.0,30.0,9.0,115.0,177.0,1.0,anterior_short_shank,1832.0,3192.0,39.0,left,38.24504500904631,1.0,True
615,22165,492.0,2310.0,1.0,309.0,918.0,1.0,3.0,4.0,12.0,30.0,154.0,185.0,217.0,1.0,anterior_short_shank,1760.0,2884.0,80.0,right,34.80814214559733,1.0,True
623,25045,444.0,4260.0,1.0,94.0,538.0,2.0,3.0,1.0,7.0,30.0,35.0,132.0,186.0,1.0,anterior_short_shank,1975.0,3264.0,35.0,left,38.71383377839342,1.0,True
631,24818,459.0,5100.0,1.0,94.0,682.0,2.0,3.0,1.0,9.0,30.0,5.0,106.0,167.0,1.0,anterior_short_shank,1975.0,3120.0,42.0,left,38.05905704855719,1.0,True
635,18429,485.0,2790.0,1.0,596.0,836.0,1.0,3.0,8.0,11.0,30.0,127.0,173.0,210.0,1.0,anterior_short_shank,1473.0,2966.0,76.0,right,37.988448904589546,1.0,True
639,23920,502.0,1710.0,1.0,167.0,1000.0,1.0,3.0,2.0,13.0,30.0,183.0,198.0,224.0,1.0,anterior_short_shank,1902.0,2802.0,85.0,right,38.31167920160351,1.0,True
647,23025,544.0,1920.0,1.0,237.0,1264.0,2.0,3.0,3.0,16.0,30.0,172.0,192.0,221.0,1.0,anterior_short_shank,1832.0,2538.0,83.0,right,38.032788953287046,1.0,True
651,22155,517.0,750.0,1.0,309.0,1090.0,1.0,3.0,4.0,14.0,30.0,219.0,218.0,235.0,1.0,anterior_short_shank,1760.0,2712.0,93.0,right,37.275961431331126,1.0,True
655,23035,516.0,3600.0,1.0,237.0,1088.0,2.0,3.0,3.0,14.0,30.0,75.0,152.0,197.0,1.0,anterior_short_shank,1832.0,2714.0,69.0,right,38.66474109895282,1.0,True
663,17989,486.0,5280.0,1.0,668.0,836.0,2.0,3.0,9.0,11.0,30.0,5.0,102.0,159.0,1.0,anterior_short_shank,1401.0,2966.0,55.0,right,38.3970511449054,1.0,True
599,19749,484.0,5400.0,1.0,524.0,838.0,2.0,3.0,7.0,11.0,30.0,4.0,99.0,155.0,1.0,anterior_short_shank,1545.0,2964.0,54.0,right,38.37273832060586,1.0,True
667,19725,548.0,1680.0,1.0,526.0,1264.0,2.0,3.0,7.0,16.0,30.0,182.0,197.0,223.0,1.0,anterior_short_shank,1543.0,2538.0,85.0,right,38.41634604619622,1.0,True
683,23039,503.0,4320.0,1.0,240.0,1002.0,2.0,3.0,3.0,13.0,30.0,33.0,130.0,185.0,1.0,anterior_short_shank,1829.0,2800.0,63.0,right,37.14815308393109,1.0,True
695,17530,536.0,2400.0,1.0,668.0,1177.0,2.0,3.0,9.0,15.0,30.0,147.0,181.0,214.0,1.0,anterior_short_shank,1401.0,2625.0,79.0,right,37.669697568844825,1.0,True
699,19534,474.0,5940.0,1.0,525.0,760.0,2.0,3.0,7.0,10.0,30.0,4.0,83.0,131.0,1.0,anterior_short_shank,1544.0,3042.0,49.0,left,38.3367500291726,1.0,True
711,19514,520.0,3360.0,1.0,524.0,1088.0,2.0,3.0,7.0,14.0,30.0,90.0,158.0,201.0,1.0,anterior_short_shank,1545.0,2714.0,71.0,right,38.4640209165144,1.0,True
719,21274,518.0,3480.0,1.0,379.0,1088.0,2.0,3.0,5.0,14.0,30.0,82.0,155.0,199.0,1.0,anterior_short_shank,1690.0,2714.0,70.0,right,37.81827726013884,1.0,True
723,22405,447.0,5190.0,1.0,309.0,538.0,1.0,3.0,4.0,7.0,30.0,5.0,103.0,162.0,1.0,anterior_short_shank,1760.0,3264.0,56.0,right,38.40455056895135,1.0,True
727,23269,480.0,5640.0,1.0,237.0,836.0,2.0,3.0,3.0,11.0,30.0,4.0,93.0,145.0,1.0,anterior_short_shank,1832.0,2966.0,52.0,right,38.36108564777045,1.0,True
